Nome azienda e ragione sociale,Attività,Indirizzo,Descrizione,Sito web,Referente/email/tel,Premio concordato
Storica Bottega di Via dei Tintori,Bottega,Via dei Tintori 25,"Rivendita spirits. Cioccolato. Aceto balsamico. Lambrusco. Selezione birre. Insignita della targa “Bottega Storica”. ",https://www.facebook.com/Storica-Bottega-di-Via-dei-Tintori-sweets-wines-and-spirits--1785562518346315,059 223527,1 barretta cioccolato / 2 pacchi di caramelle artigianali
I Picari Food&Wine - I Picari s.r.l.,Bar degustazione,via dei Gallucci 44,"Degustazione vini e salumi. Ristorazione rapida. Aperitivi",https://www.facebook.com/I-Picari-foodwine-370085943004239/,059 230630,3 caffè
Kaffeina - Kaffeina di Gualtieri Monica s.n.c.,Bar,via dei Gallucci 17,"Caffè. Colazioni. Pranzo",,333 3824100,3 caffè
Caffè dell’Università - s.a.s. di Zagni Lorena e C.,Bar,via San Geminiano 2/A,"Caffè. Colazioni. Pranzo",,059 225093,2 caffè
Caffetteria del Borgo - di Bergamini Katia e C. s.n.c.,Caffetteria,Largo Sant’Eufemia 36,"Caffè. Pasticceria. Infusi",,bastia_@libero.it,2 caffè
Enoteca Caffetteria - di Lerna Cosimo,Enoteca - caffetteria,via dei Gallucci 24,"Degustazione e rivendita vini. Caffè. Degustazione enogastronomica",,,2 caffè
ARCHER,Enoteca; infusi; rivendita eno-alimentare,via Cesare Battisti 54,"Degustazione e rivendita di eccellenze eno-alimentari. Vini e champagne; cioccolato; alto artigianato alimentare dolce e salato.,,059 237656,1 gadget (matita bio con logo esercente)
100 Montaditos Modena,Bar - Bistrot,Via Cardinale Giovanni Morone 46,"Tapas. Birre e vino spagnoli; ristorazione rapida; aperitivi",,389 100 5462,2 caffè
Amore a Primo Naso di Laura Pesce,Wine concept store,Corso Canalgrande 62,"Selezione di eccellenze eno-alimentari; birre e vini artigianali; oggetti d’arte e design; book shop.",www.amoreaprimonaso.com,347 6006192 amoreaprimonaso@gmail.com,1 birra artigianale
Bar Spritz di Biagio Lo Gerfo,Bar Caffetteria,Via Taglio 34,"Caffè. Birra e vino, drink. Aperitivi.",,,2 caffè
Caffè Farini di Serpico Rossella,Bar Caffé,via Luigi Carlo Farini 42,"Caffé.  Colazioni  aperitivi.",,334 8188646,2 caffè
Birra Park,Bar,via Bernardino Ramazzini 57,"Birra e vino. Drink. Specialità cicchetti.",,380 1009461,1 cicchetto
MiTomato - Gastronomia Lounge Bar di Balestrieri Giancarlo,Bistrot - Lounge Bar,via Cardinal Morone 8/A,"Birre artigianali; bevande bio; cucina a km 0. Pranzo e cena; aperitivi. ",,059 8778281,3 caffè
Dolce Charlotte - Trega s.r.l.,Forno Bistrot ,Via Taglio 6,"Caffé; prodotti da forno dolci e salati; infusi. ",,0523 123456,2 caffè
Stile Libero - drink bar,Bar ,via Taglio 52,,https://www.facebook.com/stileliberomodena/,059 482 0867,
Handy Taylor,Bio-caffetteria letteraria,Largo Giuseppe Garibaldi 6,,https://www.facebook.com/andytailor.it/,,
Generi Alimentari Da Panino,Bottega alimentare - gastronomia,Rua Freda 21,,http://dapanino.it/,059 875 4382,
