,Nome azienda ,Ragione sociale,Indirizzo,Descrizione,Sito web,longitude,latitude,Referente/email/tel,file txt
,Caffè delle Fontane di ,Ivanni snc,Piazza Martiri 7 luglio 3c,,,10.6314073,44.6994389,348 1794294,#N/A
,Caffetteria della Volta ,snc di D'Esposito Carlo e C.,Via Emilia A Santo Stefano 13/E,,,10.6281799,44.6995868,0522 436778,#N/A
,Caffe' Europa ,snc di Aguzzoli Raffaella &C.,"Piazza Prampolini Carlo 1/G",,,10.7915611,44.7658104,0522 435744,#N/A
,ARMANDO'S ,di Zanetti Armando,Via Farini 4/A,,,10.6298842,44.6971124,346 2188842;                        armandos.deliziecreative@gmail.com,#N/A
,Gelateria CUPIDO,,Via Emilia San Pietro 71/AB,,,10.6402557,44.6953072,Fabrizio 335 5624656,#N/A
,MARTA srl ,Bar,Via Emilia San Pietro 35,,,10.6364066,44.6963576,,#N/A
,Bar Caffetteria PIETRANERA ,di Musi Tazio & C.,Via Emilia San Pietro 29,,,10.6359307,44.6966323,333 2293400,#N/A
,Pasticceria LIGABUE, srl,Via Emilia San Pietro 45,,,10.6373947,44.696236,0522 439947,#N/A
,BUBINO Bistrot GUAZZATOIO,snc di Morelli Nicola & C.,via del Guazzatoio 3/c,,,10.6311826,44.694028,,#N/A
,Royal Cafè ,Busi Panzani srl,Via S. Pietro Martire 4/7,,,10.6288055,44.6980355,0522 434789,#N/A
,Bar Ca' di pom,,Via Roma 13,,,10.6343616,44.699186,370 3064264,#N/A
,Gelateria K2 snc ,di Pederzoli C. e Damiotti G,Via Guido da Castello 7/F,,,10.6293528,44.69851,0522 433861,#N/A
,Pizzeria Mitica snc ,di Rossitto Paolo e Corrado,via S. Giuseppe 9/A-B (via Guido da Castello 4/C),,,10.6296678,44.698561,0522 406052,#N/A
,Tigelliamo ,di Studio Tecnico Esseci snc,via Roma 18/A,,,10.6341312,44.699248,0522 437268,#N/A
,Bar Pasticceria BONI ERIO & C ,,via Roma 28,,,10.6344475,44.699707,0522 437367,#N/A,,,,,,,,,#N/A
