id1,CAPPELLE-ORATORI-TABERNACOLI,0.9,Cappella Coccapani del Palazzo Vescovile,10.631668,44.698060,E' uno degli spazi misteriosi del complesso episcopale cittadino
id2,ARCHI-PORTE-MURA-PORTICI,0.9,Arco del Follo,10.639009,44.695806,Realizzato durante l’ampliamento di Via Emilia S. Pietro fra il 1797 e l’inizio del 1800 celebra il risanamento della zona avvenuta negli anni delle vittorie napoleoniche
id3,ARCHI-PORTE-MURA-PORTICI,0.9,Arco di Porta Santa Croce,10.635957,44.702044,La porta è al termine di via Roma e fu ultimata ai tempo del podesta Guido Lambertini di Bologna (fine XII secolo)
id4,ABBAZIE-MONASTERI-SANTUARI,0.9,Basilica della Beata Vergine della Ghiara,10.626526,44.698922,Tempio dedicato alla Beata Vergine della Ghiara
id5,CHIESE-PIEVI-BATTISTERI,0.9,Battistero-Chiesa di S. Giovanni Battista,10.631063,44.697983,Edificio del XII secolo caratterizzato da una pianta a croce latina al cui centro si trovava il fonte battesimale.Alla fine del XV secolo il Vescovo Arlotti lo trasformò in stile rinascimentale
id6,BIBLIOTECHE STORICHE,0.9,Biblioteca A. Panizzi - Sede Centrale,10.629232,44.696555,Biblioteca municipale
id7,BIBLIOTECHE STORICHE,0.9,Biblioteca delle Arti - Emeroteca dei Civici Musei,10.629124,44.700495,Specializzate in archeologia e storia dell'arte
id8,PIAZZE-LOGGE-VIE STORICHE,0.9,Broletto,10.630898,44.697478,Loggiato esterno del Broletto tra piazza Prampolini e piazza S. Prospero
id9,CHIESE-PIEVI-BATTISTERI,0.9,Chiesa Del Cristo,10.629358,44.696146,Costruito come oratorio e successivamente trasformato nel corso del XVIII secolo in Chiesa a stile tipicamente barocco. Parrocchia Chiesa Ortodossa Romena
id10,CHIESE-PIEVI-BATTISTERI,0.9,Chiesa dei Santi Girolamo e Vitale,10.636122,44.694433,Di sicura suggestione è la visita alla chiesa frutto della più matura esperienza progettuale barocca
id11,CHIESE-PIEVI-BATTISTERI,0.9,Chiesa di S. Pietro,10.637383,44.696496,Nel 1586 i monaci benedettini fanno costruire una nuova chiesa nel luogo dove fin dal 1140 esisteva una chiesa dedicata a San Pietro (segue i lavori il reggiano Prospero Pacchioni). Il nome corretto è dei SS. Pietro e Prospero
id12,CHIESE-PIEVI-BATTISTERI,0.9,Chiesa di San Filippo Neri,10.634130,44.695175,Sorta nel 1672 e consacrata nel 1743 non ha facciata ed è incuneata sul retro di quell'antico edificato di cui sin dal suo nascere era stata propaggine
id13,CHIESE-PIEVI-BATTISTERI,0.9,Chiesa di San Giorgio,10.629653,44.696542,L'attuale costruzione risale al 1638 quando si decise di rifabbricare completamente il vecchio edificio le cui notizie risalgono al 1146
id14,CHIESE-PIEVI-BATTISTERI,0.9,Chiesa di San Giovanni Evangelista,10.628873,44.698369,Nota come Chiesa di San Giovannino. La struttura attuale risale al XVI secolo
id15,CHIESE-PIEVI-BATTISTERI,0.9,Chiesa di Santo Stefano,10.625415,44.700390,La seconda metà del XI sec. è la probabile epoca della costruzione della primitiva chiesa di S.Stefano
id16,ABBAZIE-MONASTERI-SANTUARI,0.9,Chiostri Benedettini di San Pietro,10.637984,44.696588,L’ex Monastero apparteneva ai Monaci Benedettini che officiavano nell'annessa Chiesa di San Pietro
