"title","lat","lng","www","conduse"
"Biblioteca Malatestiana","44,13885063918400","12,24372894462600","http://www.malatestiana.it","http://dati.emilia-romagna.it/id/ibc/condition/IT-FC0011_orari"
"Biblioteca comunale dell'Archiginnasio","44,49209236366220","11,34342811272930","http://www.archiginnasio.it/form_richiesta_bibl.html","http://dati.emilia-romagna.it/id/ibc/condition/IT-BO0304_orari"
"Biblioteca comunale dell'Archiginnasio","44,49209236366220","11,34342811272930","http://prestito.iccu.sbn.it/ILLWeb/servlets/ILL","http://dati.emilia-romagna.it/id/ibc/condition/IT-BO0304_orari"
"Biblioteca comunale dell'Archiginnasio","44,49209236366220","11,34342811272930","http://www.archiginnasio.it","http://dati.emilia-romagna.it/id/ibc/condition/IT-BO0304_orari"
"Biblioteca Salaborsa","44,49463908914300","11,34239203639910","http://www.bibliotecasalaborsa.it/home.php","http://dati.emilia-romagna.it/id/ibc/condition/IT-BO0563_orari"
"Biblioteca comunale Ariostea","44,83291244548040","11,62173027898390","http://www.artecultura.fe.it/index.phtml?id=271","http://dati.emilia-romagna.it/id/ibc/condition/IT-FE0017_orari"
"Biblioteca Musei Archivi Biblioteche","44,41728314921100","12,20399998516600","http://scoprirete.bibliotecheromagna.it/","http://dati.emilia-romagna.it/id/ibc/condition/IT-RA0053_orari"
"Biblioteca Musei Archivi Biblioteche","44,41728314921100","12,20399998516600","http://www.bibliotecheromagna.it","http://dati.emilia-romagna.it/id/ibc/condition/IT-RA0053_orari"
"Biblioteca Campori","44,73813854633900","10,92489271441000","http://www.bibliomo.it/SebinaOpac/.do#2","http://dati.emilia-romagna.it/id/ibc/condition/IT-MO0125_orari"
"Biblioteca comunale","44,47653597583380","11,63900816800210","http://www.comune.medicina.bo.it/moduli/ufficio.aspx?ID=1&q=20","http://dati.emilia-romagna.it/id/ibc/condition/IT-BO0207_orari"
"Biblioteca comunale """Aldo Luppi""" di Porotto","44,84999726130120","11,55302478290150","http://www.comune.fe.it/canali/biblioteche/porotto.htm","http://dati.emilia-romagna.it/id/ibc/condition/IT-FE0142_orari"
"Biblioteca del Museo internazionale delle ceramiche","44,28871040403210","11,88181978764770","http://www.micfaenza.org","http://dati.emilia-romagna.it/id/ibc/condition/IT-RA0019_orari"
"Biblioteca comunale Manfrediana. Sede di Reda","44,30168700006290","11,96770139261180",,"http://dati.emilia-romagna.it/id/ibc/condition/IT-RA0074_orari"
"Biblioteca comunale """Giorgio Bassani"""","44,8634694","11,605104","http://archibiblio.comune.fe.it/355/index.php?id=298","http://dati.emilia-romagna.it/id/ibc/condition/IT-FE0098_orari"
"Sala di lettura di Ponte della Venturina","44,131614","10,990961",,"http://dati.emilia-romagna.it/id/ibc/condition/IT-BO0195_orari"
"Centro lettura """Publio Francesco Modesti"""","43,87281408333240","12,66849653856770",,"http://dati.emilia-romagna.it/id/ibc/condition/IT-RN0015_orari"
"Biblioteca comunale","44,85110794549350","9,86698075714009","http://www.comune.castellarquato.pc.it/pagina.asp?IDpag=107&idbox=30&idvocebox=144","http://dati.emilia-romagna.it/id/ibc/condition/IT-PC0067_orari"
"Biblioteca comunale","44,35468627073530","11,71129087853750","http://www.bim.comune.imola.bo.it","http://dati.emilia-romagna.it/id/ibc/condition/IT-BO0199_orari"
"Centro culturale - Biblioteca comunale","44,84981768668960","11,06960117316120","http://www.comune.medolla.mo.it","http://dati.emilia-romagna.it/id/ibc/condition/IT-MO0033_orari"
"Biblioteca comunale","44,39732577291790","11,81207604652080","http://www.comunemordano.it/biblioteca.html","http://dati.emilia-romagna.it/id/ibc/condition/IT-BO0211_orari"
"Biblioteca comunale """Giuseppe Malagoli"""","44,84469501551510","10,73133782600760","http://biblioteche.provincia.re.it/Sezione.jsp?idSezione=65","http://dati.emilia-romagna.it/id/ibc/condition/IT-RE0042_orari"
"Biblioteca comunale","44,49069268770100","11,22286115142150","http://www.comune.zolapredosa.bo.it/comune/uffici/-istituzione/pagina23.html","http://dati.emilia-romagna.it/id/ibc/condition/IT-BO0254_orari"
"Biblioteca dell'Azienda Unità Sanitaria Locale","44,60443380486980","10,86913757740110","http://www.ausl.mo.it/flex/cm/pages/ServeBLOB.php/L/IT/IDPagina/8334","http://dati.emilia-romagna.it/id/ibc/condition/IT-MO0233_orari"
"Biblioteca del Quartiere Borello","44,05267090494330","12,18012516918680",,"http://dati.emilia-romagna.it/id/ibc/condition/IT-FC0129_orari"
"Biblioteca comunale """Severino Ferrari"""","44,62094098967490","11,66966816053420","http://www.comune.molinella.bo.it/vivere/biblio/servizi.aspx","http://dati.emilia-romagna.it/id/ibc/condition/IT-BO0257_orari"
"Biblioteca comunale """Zosimo Marinelli"""","44,34629641408250","10,99352794518960","http://www.comune.zocca.mo.it/uffici/pag125.aspx","http://dati.emilia-romagna.it/id/ibc/condition/IT-MO0128_orari"
"Biblioteca del Quartiere Cervese Sud - Sant'Egidio","44,15293296597590","12,26296365821840",,"http://dati.emilia-romagna.it/id/ibc/condition/IT-FC0127_orari"
"Biblioteca Scandellara","44,49679215319750","11,38329025290440","http://www.bibliotechebologna.it//luoghi/62013/id/55862","http://dati.emilia-romagna.it/id/ibc/condition/IT-BO0302_orari"
"Biblioteca comunale """Cesare Zavattini"""","44,96046916099220","10,69117906690330","http://biblioteche.provincia.re.it/luzzara","http://dati.emilia-romagna.it/id/ibc/condition/IT-RE0039_orari"
"Biblioteca comunale """Cesare Zavattini"""","44,96046916099220","10,69117906690330","http://www.facebook.com/cesare.zavattini.7","http://dati.emilia-romagna.it/id/ibc/condition/IT-RE0039_orari"
"Biblioteca comunale """Cesare Zavattini"""","44,96046916099220","10,69117906690330","http://www.fondazioneunpaese.org","http://dati.emilia-romagna.it/id/ibc/condition/IT-RE0039_orari"
